Course Title,Course Subject,A+,A,Total 4.0,Total A,Total Kids,Percent 4.0,Percent A,ACP,HUM,SSBS,CW,CNW,Credit Hours
RST370,RST,3,14,17,25,42,0.40476190476190477,0.5952380952380952,NO,NO,NO,NO,NO,3
RST410,RST,9,9,18,28,49,0.3673469387755102,0.5714285714285714,Yes,NO,NO,NO,NO,3
RST420,RST,5,19,24,36,52,0.46153846153846156,0.6923076923076923,NO,NO,NO,NO,NO,3
RST429,RST,0,16,16,16,62,0.25806451612903225,0.25806451612903225,NO,NO,NO,NO,NO,4
RST480,RST,0,33,33,35,48,0.6875,0.7291666666666666,NO,NO,NO,NO,NO,1
RUSS115,RUSS,0,14,14,20,25,0.56,0.8,NO,Yes,NO,Yes,NO,3
SAME152,SAME,2,11,13,28,76,0.17105263157894737,0.3684210526315789,NO,NO,Yes,NO,Yes,3
SCAN101,SCAN,6,10,16,21,28,0.5714285714285714,0.75,NO,NO,NO,NO,NO,4
SCAN251,SCAN,13,37,50,68,94,0.5319148936170213,0.723404255319149,NO,NO,NO,NO,NO,3
SHS120,SHS,0,471,471,471,601,0.78369384359401,0.78369384359401,NO,NO,Yes,NO,NO,3
SHS150,SHS,7,19,26,41,136,0.19117647058823528,0.3014705882352941,NO,NO,NO,NO,NO,3
SHS170,SHS,7,41,48,76,144,0.3333333333333333,0.5277777777777778,NO,NO,Yes,NO,NO,3
SHS221,SHS,2,17,19,28,45,0.4222222222222222,0.6222222222222222,NO,NO,NO,NO,NO,4
SHS222,SHS,12,44,56,79,108,0.5185185185185185,0.7314814814814815,NO,NO,Yes,NO,Yes,3
SHS270,SHS,0,47,47,47,105,0.44761904761904764,0.44761904761904764,NO,NO,NO,NO,NO,4
SHS271,SHS,16,14,30,36,46,0.6521739130434783,0.782608695652174,NO,NO,NO,NO,NO,3
SHS280,SHS,31,18,49,94,142,0.34507042253521125,0.6619718309859155,NO,NO,NO,NO,NO,3
SHS300,SHS,18,9,27,40,103,0.2621359223300971,0.3883495145631068,NO,NO,NO,NO,NO,4
SHS320,SHS,21,41,62,84,131,0.4732824427480916,0.6412213740458015,NO,NO,NO,NO,NO,3
